issueTitle,sectionTitle,sectionAbbrev,authors,articleTitle,year,datePublished,volume,issue,endPage,startPage,articleAbstract,galleyLabel,authorEmail,fileName,keywords,language
ICIE Symposium 2004,Article,AR,"Beckett, Robert","Communication ethics and the internet: intercultural and localising
influencers",2004,2004/11/01,2,,,,"In the information-technology powered twenty first century a general demand for more effective
communication is driving people to question the present, examine the past and to prognosticate the future.
The ?unique global media-information system? - the Internet- is the central fact of a vast new complexity of
communication (mediated and unmediated) that is driving social-economic-political-religious- technological
change (see http://www.5systems.net) at a rate never experienced before. The premise of this paper is that
the Internet can be better understood as the first complex global media with both democratic and
authoritarian possibilities, the full extent of which are still emergent. In respect of the symposium question,
this paper suggests that Internet embedded communication theory can be used progressively as part of a
widening and deepening approach to intercultural conversation, dialogue and debate. In theory, the localising
nature of the Internet can be read as part of a greater movement towards communitarian and community
centred self-governance, local democracy and social self-sufficiency. There is considerable scope for a new
theory of society founded in localised ?in-community communication? practice supported by international
human rights and effectively responsive to the asymmetric global information environment and congruent
with newly democratised local structures of self-governance.",PDF,ojshelp@ualberta.ca,ijie_002_04_beckett.pdf,,English
ICIE Symposium 2004,Article,AR,"Bittner, Peter",On Professional Informatical Action,2004,2004/11/01,2,,,,"Our patterns of thinking and acting (as ?computer professionals?) must be out in the open, so as to expose
informatical action to criticism by the society as a whole. We are responsible for the provision of knowledge
about these patterns. This article criticizes the (defining) use of the trait approach and the functional
approach to ?profession? in the debate on professionalization in the field of computer science (informatics).
An attempt is made to show how informatical action might be better understood by examining the concept of
profession in a multidimensional approach, sensitive towards the various perspectives. For this purpose it
becomes necessary to examine first of all the various perspectives on the concept ?profession? and secondly
the debates on professionalization in other disciplines.",PDF,ojshelp@ualberta.ca,ijie_002_05_bittner.pdf,,English
ICIE Symposium 2004,Article,AR,"Buchanan, Elizabeth A",The Internet as Friend or Foe of Intellectual Freedom,2004,2004/11/01,2,,,,"What a long strange trip the Internet has had. From its inception and use by the American military to the
billions of users world-wide who log on daily, the Internet is both the promise of access to information and
the peril of surveillance and a means of curtailing intellectual freedom. This paper will review this continuum,
paying close attention to recent developments in the United States that fuel the dichotomous debate
surrounding intellectual freedom.",PDF,ojshelp@ualberta.ca,ijie_002_06_buchanan.pdf,,English
ICIE Symposium 2004,Article,AR,"Canellopoulou-Bottis, Maria","A different kind of war: Internet databases and legal protection or how
the strict intellectual property laws of the West threaten the developing
countries? information commons",2004,2004/11/01,2,,,,"This paper describes intellectual property legislation in the European Union, the US and the Draft Treaty on
the legal protection of unoriginal databases, usually available in the Internet. I argue that this type of
legislation, if enforced upon developing countries and countries in transition through international
?agreements?, could in effect deprive them of their own information commons, their own public domain. With
examples from China, India, Africa and Iceland, I argue that this deprivation in the case of developing
countries is, morally, equal to a virtual war against them by the West, wholly unjustified and dangerous-an
example of virtual imperialism.",PDF,ojshelp@ualberta.ca,ijie_002_07_canellopoulou.pdf,,English
ICIE Symposium 2004,Article,AR,"Carbo, Toni","Models for Ethical Decision-Making for Use in Teaching Information
Ethics: Challenges for Educating Diverse Information Professionals",2004,2004/11/01,2,,,,"Teaching Information Ethics to a very diverse group of graduate students working towards careers as
information professionals raises a number of challenges. The students come from different disciplines and a
wide range of diverse educational, economic, social, and cultural backgrounds and from several different
countries. At the University of Pittsburgh, students in the Information Ethics course are enrolled in one of
three master?s or doctoral degree programs at the School of Information Sciences: information science,
library and information science or telecommunications. In addition, graduate students, and an occasional
senior-level undergraduate student, from other disciplines and schools, such as business, medicine, public
and international affairs, as well as students from other universities, such as Carnegie Mellon University, take
the fifteen-week course. Identifying and using models for ethical reflection and moral decision-making
requires drawing on materials from several disciplines and adapting those models for the course. This paper
will discuss some of the models used in the past, the advantages and disadvantages of the model currently
used (i.e., Richard Paul and Linda Elder?s, The Miniature Guide to Understanding the Foundations of Ethical
Reasoning. The Foundation for Critical Thinking, Dillon Beach, CA, 2003), and the evolution of the
Information Ethics course over its fifteen-year history.",PDF,ojshelp@ualberta.ca,ijie_002_08_carbo.pdf,,English
ICIE Symposium 2004,Article,AR,"Ebersbach, Anja; Glaser, Markus",Towards Emancipatory Use of a Medium: The Wiki,2004,2004/11/01,2,,,,"With the rapid growth of the Internet in the 1990ies due to the WWW, many people?s hopes were raised that
the spirit of egality, the emancipatory power of the medium then, would be brought to the masses. With the
increasing commercialization, the net became and is becoming more and more a one-way medium for
advertising. Against this development, a new form of web pages has emerged and is becoming increasingly
popular: the Wiki. Its distinctive feature is that any web page can be edited by anyone. Participants attribute
the success to this openness and to the resulting collective production of content. In his 1970 article
?Constituents of a theory of the media?, Enzensberger developed a list of seven criteria that qualify, in his
opinion, the use of a medium as emancipatory. These are used to investigate the question: Can wikis be
thought of as a new form of emancipatory use of the medium?",PDF,ojshelp@ualberta.ca,ijie_002_09_ebersbach.pdf,,English
ICIE Symposium 2004,Article,AR,"Esquirol, Josep Maria",Network and Everyday Life: Beyond ?Local Space??,2004,2004/11/01,2,,,,"After describing what it is known as quotidianity ? or everyday life- , the text focuses on the way it is
influenced by the Network, paying special attention to the space-time experience. How does the Network flow
determine a new temporality? How does Cyberspace interact with the place? To finish with, we comment on
the opinion according to which Cyberspace goes beyond the boundaries of what is local.",PDF,ojshelp@ualberta.ca,ijie_002_10_esquirol.pdf,,English
ICIE Symposium 2004,Article,AR,"Fleissner, Peter","Can religious belief systems influence technological and social
innovations?",2004,2004/11/01,2,,,,"As the author was not satisfied with the explanatory power of economic theories, in particular when they are
applied to the rapid diffusion of the Internet and Internet services, he tries to analyze cultural framework
conditions and processes involved that inspire inventions and innovative ideas and speed up their diffusion.
He offers a scheme of thought to accompany the emergence of ideas and their reification process
(VergegenstÑndlichung) as technical or social innovations. A few examples are given as illustration.",PDF,ojshelp@ualberta.ca,ijie_002_11_fleissner.pdf,,English
ICIE Symposium 2004,Article,AR,"Froehlich, Thomas J",Feminism and Intercultural Information Ethics,2004,2004/11/01,2,,,,"Rafael Capurro calls for an intercultural information ethics that radically challenges its Eurocentric, Greek
philosophical roots and grapples with and validates cultural diversity. One of the voices that must be included
in this project is that of feminism, both within and outside of Western culture. While there are a variety of
feminist issues and approaches to feminism, embracing the naturalistic approach, suggested by Alison
Jaggar, one can find sufficient commonalities, both in terms of a critique of traditional male-dominated
Western ethics and in terms of a positive content and agenda, to establish a feminist framework. One strong
voice that help create this framework is that of Carol Gilligan who studied the moral development of women.
This paper argues that the ?different voice? thesis of Gilligan (i.e., that men and women prototypically ? not
stereotypically ? bring different voices to moral argumentation and ethical deliberation) can serve as an
ethical principle, that permits all persons ? male or female ? to interrogate and guide their ethical choices,
and that an ?ethic of care? can challenge an ?ethic of rights,? and on occasion can trump it as a major guiding
ethical principle.",PDF,ojshelp@ualberta.ca,ijie_002_12_froehlich.pdf,,English
ICIE Symposium 2004,Article,AR,"Gopal, T V",The ?Faith? factor in the Internet World,2004,2004/11/01,2,,,,"The author opines that the most creative use of Information and Communications Technology (ICT) in

development may not entail computers, e-mail, or Internet access, but rather the use of other computer-
based technologies, including embedded chips, satellite based information and so on to better meet local

needs. The solutions must be affordable.
Some of the major challenges in developing local solutions based on ICT are Bridging the Digital Divide,
Trustworthiness, Protecting Intellectual Property, Information Assurance, Privacy, Hacking , Viruses and
Worms.
The solutions for these challenges are ?People-Centric? and are thus influenced by the ?personal? and
?professional? ethics of individuals. All the challenges cited above lead to many ethical issues. Internet being
a global phenomenon the ethical issues need to be examined in Intercultural perspective. The author
suggests that ?faith? of people is the key in meeting the challenges in developing local solutions.",PDF,ojshelp@ualberta.ca,ijie_002_13_gopal.pdf,,English
ICIE Symposium 2004,Article,AR,"Heesen, Jessica","Universalisation, Totality and ICT, or: Are there any reasons for
demanding ICT-free areas?",2004,2004/11/01,2,,,,"In the following contribution we will investigate the digital divide with respect to a philosophically and
ideologically founded concept of universalisation. The documents of the World Summit on the Information
Society (WSIS) show that the creation of a global information society not only concerns a technical structural
transformation, but also a technical implementation of a normative guiding principle. I will show that
overcoming the digital divide corresponds to the inner logic of universalisation as an ethical model of
reasoning. Furthermore, we will see that in reality this formal approach to reasoning proves to be a means of
realising certain ideological perspectives. This interdependency of cultural dispositions and technical
developments in the global information society will be shown in five aspects:
? The creation of a global social utopia based on the concept of the information society.
? The objectification of the concept of universalisation in information and communication technology
(ICT).
? The linking of global internet use to a normative idea of the public sphere.
? The tendency towards totality as a problem of the public sphere and ICT.
? Possible reasons for demanding ICT-free areas.",PDF,ojshelp@ualberta.ca,ijie_002_14_heesen.pdf,,English
ICIE Symposium 2004,Article,AR,"Einar Himma, Kenneth","The Ethics of Tracing Hacker Attacks through the Machines of Innocent
Persons",2004,2004/11/01,2,,,,"Victims of hacker attacks are increasingly responding with a variety of ?active defense? measures, including
?invasive tracebacks? that are intended to identify the parties responsible for the attack by tracing its path
back to its original source. The use of invasive tracebacks raise ethical issues because, in most cases, they
involve trespassing upon the machines of innocent owners. Sophisticated hackers attempt to conceal their
identities by routing their attacks through layers of innocent agent machines and networks that are
compromised without the knowledge of the owners. The use of invasive traceback technologies in such
cases, then, involves an act is presumptively problematic from an ethical standpoint: intentionally entering
upon the property of an innocent person without her consent constitutes a prima facie trespass.
I argue that there is no ethical principle that would justify the use of invasive tracebacks by private persons
or entities (as opposed to governmental persons or entities). First, I argue that invasive tracebacks cannot
be justified under the Defense Principle, which allows one person to use proportional force to defend herself
or other innocent persons from attacks. Second, I argue that, in ordinary cases, the use of an invasive
traceback impacting innocent persons cannot be justified under the Necessity Principle, which permits the
infringement of an innocent person?s rights when necessary to achieve a significantly greater good. Since
these are the only applicable principles, I conclude that, in the absence of special circumstances, it is not
ethically permissible for private parties and entities to implement invasive traceback technologies.",PDF,ojshelp@ualberta.ca,ijie_002_15_himma.pdf,,English
ICIE Symposium 2004,Article,AR,"Hodel, Thomas B; SchÅtter, Alma","Informational Self-Determination Databases in an Intercultural
Perspective",2004,2004/11/01,2,,,,"An Informational Self-Determination Database System allows to store, manage and query data while at the
same time respecting the data subjects? rights of information privacy. We argue that in a world of
everincreasing amounts of data that are directly or indirectly related to identifiable individuals and which are
being maintained by many organizations, it is of utmost importance to offer strong, effective and reliable
concepts and mechanisms ? technical, organizational as well as legal ? to avoid adverse effects of information
processing on people. We present a short motivation for our claims. We then sketch our vision of an
Informational Self-Determination Database System and its working. We maintain that our approach offers a
realistic, practical and pragmatic solution for enhancing people?s privacy, without hindering organizations in
getting their business done.",PDF,ojshelp@ualberta.ca,ijie_002_16_hodel.pdf,,English
ICIE Symposium 2004,Article,AR,"Hofkirchner, Wolfgang; Maier-Rabler, Ursula",The Ethos of the Great Bifurcation,2004,2004/11/01,2,,,,"In the information age ethical questions are raised about the actual course of the evolution of humankind
which is now at a critical crossroad ? the Great Bifurcation. Values like peace, respect for nature, justice,
solidarity, freedom and equality assume greater importance. They all constitute the ethos of the Great
Bifurcation. This ethos has practical implications. E-policies when based on this ethos have to go beyond
techno-oriented solutions in order to bring about a sustainable global information society.",PDF,ojshelp@ualberta.ca,ijie_002_17_hofkirchner.pdf,,English
ICIE Symposium 2004,Article,AR,"Karasavvidou, Eleni",Email and Intercultural Linguistics,2004,2004/11/01,2,,,,"One of the matters that seem to preoccupy all the more the researchers of ICT and the sociologists, along
with the parents and teachers, is the relationship between the child and the products of new age technology,
especially the internet. And the results this relationship could have in personal and social level in important
institutions like family and teaching and in important functions like writing and speaking. Having the study of
the representations an important field of the social and anthropologic research the recent years, able to offer
in the comprehension of the social operations and the relations of power they encompass, email language is
proven all the more a rising field of research. This is not only attributed into the ?inner status itself? of the
email that offers a combination of ?writing? and ?oral? logos along with ?new technology?, but is equally
attributed into the ?external dynamics? that the social subjects whom correspond carry into the e-mail
communication.. Because as email brings ?together? persons from a diversity of origins and a variety of
cultures, its language is filled with various social, cultural and psychological connotations.
All the more, having western world the recent decades (due to mass immigration and the intercultural
societies that were evolved), to meet ?the disappearance of the Self and the State? as we knew it, it is worth
trying to explore the dynamics of this procedure using one of society?s orienting concepts. Communication.
In this framework an email correspondence between a girl of Greek origin living abroad (a girl from
?Diaspora?) and a native Greek girl seems an intriguing case of research but also a case that requires an
equally complicated method of analysis. Using a synthetic method, (combining the theories of Wierlacher,
Gennete and Bachelar), in other words a method able for us to bring forth not only the linguistic but also the
psychological parameters that intervene in correspondences between people of different sub-cultures, we
tried primarily to exhibit the complexity of those correspondences and secondly to locate interesting data.
We should point though, that this was an experimental research from the point of humanities, and more
specifically from the point of Intercultural Linguistics, in a brand new field and we should wait the new
researches that already follow to justify or un-justify its results. In both cases this research probably will
prove its value being one of the first question marks in a strange yet exciting new field of interest.",PDF,ojshelp@ualberta.ca,ijie_002_18_karasavvidou.pdf,,English
ICIE Symposium 2004,Article,AR,"Menou, Michel J","Buzzwords and indicators about the networked society: metaphor, vacuity
or fraud?",2004,2004/11/01,2,,,,"Even though the notion of an information revolution is quite old, recent years have witnessed a proliferation
of expressions and measures that tend to depict a radically ""new"" situation. This reflects in part genuine
attempts at describing, explaining and popularizing phenomena that are themselves all but understood.
Behind the scene, one may detect less commendable attempts at transforming ignorance into universal
evidence or vested commercial interests into millenarian visions. Thus an urgent need of recovering the true
sense of the words.",PDF,ojshelp@ualberta.ca,ijie_002_19_menou.pdf,,English
Search Engines,Editorial,ED,"Capurro, Rafael",The Ethics of Search Engines,2005,2005/06/01,3,,2,0,,PDF,ojshelp@ualberta.ca,003_capurro.pdf,,English
Search Engines,Article,AR,"Neuberger, Christoph","Funktionen, Probleme und Regulierung von Suchmaschinen im Internet",2005,2005/06/01,3,,17,3,"Suchmaschinen haben eine Orientierungs- und Speicherfunktion im Internet. Der Wettbewerb zwischen Google, Yahoo und Microsoft, der im Jahr 2004 an SchÑrfe gewonnen hat, wird als ?Krieg der Architekturen? interpretiert, bei dem es letztlich darum geht, allgemeine Standards fÅr die Aufbereitung und Suche digitaler Informationen zu setzen. Die Frage, wie gro· der Einfluss des MarktfÅhrers ?Google? auf die Aufmerksamkeitslenkung im Internet ist, lÑsst sich noch nicht abschlie·end beantworten. Gegen ein ?Googlepol? spricht zum Beispiel, dass viele Nutzer parallel auch bei anderen Anbietern suchen. Die QualitÑt der SuchmaschinenErgebnisse wird nicht nur durch technische SchwÑchen, sondern in wachsendem Ma·e auch durch externe und interne Formen der Manipulation beeintrÑchtigt. In der letzten Zeit haben sich Suchmaschinen-Betreiber und Suchmaschinen-Optimierer in SelbstverpflichtungserklÑrungen auf Regeln geeinigt, durch die mehr Transparenz fÅr die Nutzer geschaffen und das Problem des ?Spamming? von Suchmaschinen gelîst werden soll.",PDF,ojshelp@ualberta.ca,003_neuberger.pdf,,German
Search Engines,Extended Abstract,EA,"Neuberger, Christoph","Function, Problems, and Regulation of Search Engines in the Internet",2005,2005/06/01,3,,5,4,"Search engines are the most used type of offer in the internet. However, they have hardly been analyzed yet in communications sciences. Most of all, search engines have an orientation function but at the moment are also increasingly significant as stores of information. Thus, the market leader Google in 2004 made an agreement with five big libraries on digitalizing 15 millions of books and documents. Particularly in France this announcement provoked reaction, as they said that a cultural inequality was to be feared if predominantly literature in the English language was made accessible in this way.",PDF,ojshelp@ualberta.ca,003_neuberger_ext.pdf,,English
Search Engines,Article,AR,"Welp, Carsten; Machill, Marcel",Code of Conduct Transparency in the Net: Search Engines,2005,2005/06/01,3,,18,18,,PDF,ojshelp@ualberta.ca,003_carsten.pdf,,English
Search Engines,Article,AR,"Hinman, Lawrence M",Esse est indicato in Google: Ethical and Political Issues in Search Engines,2005,2005/06/01,3,,25,19,"Search engines play an increasingly pivotal role in the distribution and eventual construction of knowledge, yet they are largely unnoticed, their procedures are opaque, and they are almost completely devoid of independent oversight. In this paper the author examines three areas in which we encounter difficult and persistent ethical issues in search engine technology: The problem of algorithm and the lack of transparency of the search process, the problem of privacy with regards of the possibility to monitor search histories, and the problem of local censorship. The given findings lead to the conclusion that the development of structures of accountability for search engines is an important task for the near future.",PDF,ojshelp@ualberta.ca,003_hinman.pdf,,English
Search Engines,Article,AR,"Rieder, Bernhard",Networked Control: Search Engines and the Symmetry of Confidence,2005,2005/06/01,3,,32,26,"Search engines have become an integral part of our Internet use. They shape the way we look at the world, they provide orientation where there is none; but the maps they draw are too often hijacked by commercial interest. Search engines are less black box than black foam; functional decoupling, parasite technologies, and the embedding in the greater context of culture and society render the search act subject to overdetermination. Control is thus diluted into a dense network of human and non-human ?actants? and the power of the search engine is located in a control zone rather than a control center. In order to shift power back to the public, this paper proposes the concept of ?symmetry of confidence?, a new relationship between search engine companies and their users.",PDF,ojshelp@ualberta.ca,003_rieder.pdf,,English
Search Engines,Article,AR,"Blanke, Tobias",Ethical subjectification and search engines: ethics reconsidered,2005,2005/06/01,3,,38,33,"This article will explore the relation of search engines to the freedom they invoke in human subjects. Away from questions about the social impact of search engines and their ethical use, it shall investigate the influence of search engines on ethical subjectifications. The article will criticise the common critique that search engines should only deliver neutral and objective results to their users, where ?neutral? and ?objective? are defined as anti-subjective. On the contrary, it will argue that search engines are designed to deliver subjective results. A possible ethical critique starts therefore where they fail to do so. Due to reasons immanent to the technology, search engines are never subjective enough in their relevance decisions. Their results collide at the same time with what their users expect them to deliver. The article will show that, far from being a disadvantage, this disagreement between the users? expectations and the search engines results is what triggers an ethical subjectification.",PDF,ojshelp@ualberta.ca,003_blanke.pdf,,English
Search Engines,Article,AR,"Tavani, Herman T","Search Engines, Personal Information and the Problem of Privacy in Public",2005,2005/06/01,3,,45,39,"The purpose of this paper is to show how certain uses of search-engine technology raise concerns for personal privacy. In particular, we examine some privacy implications involving the use of search engines to acquire information about persons. We consider both a hypothetical scenario and an actual case in which one or more search engines are used to find information about an individual. In analyzing these two cases, we note that both illustrate an existing problem that has been exacerbated by the use of search engines and the Internet ? viz., the problem of articulating key distinctions involving the public vs. private aspects of personal information. We then draw a distinction between ?public personal information? (or PPI) and ?nonpublic personal information? (or NPI) to see how this scheme can be applied to a problem of protecting some forms of personal information that are now easily manipulated by computers and search engines ? a concern that, following Helen Nissenbaum (1998, 2004), we describe as the problem of privacy in public.",PDF,ojshelp@ualberta.ca,003_tavani.pdf,,English
Search Engines,Article,AR,"Hoeren, Thomas","Law, Ethics and Electronic Commerce",2005,2005/06/01,3,,53,46,"Unlike the Internet community had expected electronic commerce does not lead to an anarchic dissolution of law. In the context of electronic trade, problems arising between users and providers can be solved, for instance by applying traditional principles of contract law. And yet, the legal dispute of Internet related facts and circumstances gives rise to a number of interesting topoi. Even though these subjects have already been considered in the past (for instance in the context of satellite technology), they only now show their specific explosive effect and diversity in the face of the electronic commerce.",PDF,ojshelp@ualberta.ca,003_hoeren.pdf,,English
Search Engines,Review,REV,"Weber, Karsten",The plurality of moral challenges in information societies and the need for systematic thinking,2005,2005/06/01,3,,72,70,"This paper shall give a review of some recently published and some older books, which were published as second or third edition, on Information Ethics and Internet related topics: - Brennan, Linda L. & Victoria E. Johnson (eds.): Social, Ethical, and Policy Implications of Information Technology. Hershey, PA: Information Science Publishing, 2004. ? 304 pages, paperback, $59.95 - Capurro, Rafael: Ethik im Netz. Wiesbaden: Franz Steiner, 2003. 278 pages, paperback, ?26.00 - Cavalier, Robert J. (ed.): The impact of the Internet on our moral lives. Albany, NY: State University of New York Press, 2005. ? 249 pages, paperback, $26.95 - Johnson, Deborah G.: Computer Ethics. Upper Saddle River, NJ: Prentice Hall, third edition, 2001. ? 240 pages, paperback, $40.67 - Kuhlen, Rainer: Informationsethik. Umgang mit Wissen und Informationen in elektronischen RÑumen. Konstanz: UVK (UTB), 2004. ? 444 pages, paperback, ?24.95 - Ny°ri, Krist¢f: Vernetztes Wissen. Philosophie im Zeitalter des Internets. Wien: Passagen Verlag, 2004. ? 179 pages, paperback, ?19.95 - Spinello, Richard A.: Case Studies in Information Technology Ethics. Upper Saddle River, NJ: Prentice Hall, second edition, 2003. ? 252 pages, paperback, $54.67 - Spinello, Richard A. & Herman T. Tavani (eds.): Readings in Cyberethics. Sudbury, NJ: Jones and Bartlett Publishers, second edition, 2004. ? 697 pages, paperback, $54.95 - Tavani, Herman T.: Ethics & Technology. Ethical Issues in an Age of Information and Communication Technology. Hoboken, NJ: John Wiley and Sons, 2004. 344 pages, paperback, $53.95",PDF,ojshelp@ualberta.ca,003_weber.pdf,,English
