issueTitle,sectionTitle,sectionAbbrev,authors,articleTitle,year,datePublished,volume,issue,startPage,endPage,articleAbstract,galleyLabel,authorEmail,fileName,keywords
Volume 8: Gene Editing and Personalized Medicine,News,NEW,"Robinson, Daniel",Developing CRISPR-Cas9 as a therapeutic tool to treat inherited genetic disorders,2017,2017/06/01,8,1,Page 10,Page 11,,pdf,healthscienceinquiry@gmail.com,2017-8-new-3-dr.pdf,
Volume 8: Gene Editing and Personalized Medicine,News,NEW,"Bagri, Puja",Utilizing genomic tools to characterize the tumour landscape of glioblastoma,2017,2017/06/01,8,1,Page 12,Page 13,,pdf,healthscienceinquiry@gmail.com,2017-8-new-4-pb.pdf,
Volume 8: Gene Editing and Personalized Medicine,News,NEW,"Trottier, Sarah; Townsend, Logan",Modifying the microbiome: A gateway to treat Type 2 diabetes?,2017,2017/06/01,8,1,Page 14,Page 15,,pdf,healthscienceinquiry@gmail.com,2017-8-new-5-st.pdf,
Volume 8: Gene Editing and Personalized Medicine,Spotlight on Careers,SOC,"Mohammadi-Shemirani, Pedrum",Interview with Dr. Viraj Mane: Manager at Ontario Genomics,2017,2017/06/01,8,1,Page 69,Page 71,,pdf,healthscienceinquiry@gmail.com,2017-8-soc-1-pms.pdf,
Volume 8: Gene Editing and Personalized Medicine,Spotlight on Careers,SOC,"Mohammadi-Shemirani, Pedrum",Interview with Dr. Angela McDonald: Manager at McKinsey & Company,2017,2017/06/01,8,1,Page 72,Page 73,,pdf,healthscienceinquiry@gmail.com,2017-8-soc-2-pms.pdf,
Volume 8: Gene Editing and Personalized Medicine,Spotlight on Careers,SOC,"Mohammadi-Shemirani, Pedrum",Interview with Dr. Kripa Raman: Research AsSOCiate at Cornerstone Research Group,2017,2017/06/01,8,1,Page 74,Page 75,,pdf,healthscienceinquiry@gmail.com,2017-8-soc-3-pms.pdf,
Volume 8: Gene Editing and Personalized Medicine,Spotlight on Careers,SOC,"Mohammadi-Shemirani, Pedrum",Interview with Dr. Laurence MacPhie: Partner at Bereskin & Parr LLP,2017,2017/06/01,8,1,Page 76,Page 77,,pdf,healthscienceinquiry@gmail.com,2017-8-soc-4-pms.pdf,
Volume 8: Gene Editing and Personalized Medicine,Spotlight on Careers,SOC,"Mohammadi-Shemirani, Pedrum",Interview with Dr. Alexis Carere: Manager at Ontario Genomics,2017,2017/06/01,8,1,Page 78,Page 79,,pdf,healthscienceinquiry@gmail.com,2017-8-soc-5-pms.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Ask an Expert,AAE,"Jetha, Arif",Are we overlooking a vulnerable generation of workers? How to Support Young Adults with Chronic Disease and Disability in the Labor Market,2018,2018/06/01,9,1,Page 75,Page 77,,pdf,healthscienceinquiry@gmail.com,2018-9-aae-1-aj.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Ask an Expert,AAE,"Delgado-Olguin, Paul",Getting ready for the future: modifying our epigenome to prevent the effects of developing in an adverse environment,2018,2018/06/01,9,1,Page 78,Page 80,,pdf,healthscienceinquiry@gmail.com,2018-9-aae-2-pdo.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Ask an Expert,AAE,"Braam, Mitchell J.S.; Kieffer, Timothy J.",How do primary/patient-derived cell models compare to mouse models in the study of chronic disease? Do either of these models carry increased translational potential?,2018,2018/06/01,9,1,Page 81,Page 82,,pdf,healthscienceinquiry@gmail.com,2018-9-aae-3-mjsb.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Ask an Expert,AAE,"Blandford, Stephanie N.; Moore, Craig S.",Patient-derived induced pluripotent stem cells — Bridging the gaps between preclinical and clinical effectiveness in brain illness?,2018,2018/06/01,9,1,Page 83,Page 85,,pdf,healthscienceinquiry@gmail.com,2018-9-aae-4-snb.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Hakem Zadeh, Farigol",Enhancing the strategies for diagnosis and treatment of hypertrophic cardiomyopathies,2018,2018/06/01,9,1,Page 17,Page 19,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-1-fhz.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Bertschmann, Jessica",Targeting our aging cells to treat metabolic disease,2018,2018/06/01,9,1,Page 20,Page 22,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-2-jb.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Fakhereddin, Mohamad",The genetics of pain: a bio-psycho-SOCial approach for understanding pain,2018,2018/06/01,9,1,Page 23,Page 24,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-3-mf.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Brownlie, Emma",A fine balance: the complex interplay between host and microbes in inflammatory bowel disease,2018,2018/06/01,9,1,Page 26,Page 27,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-4-eb.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Ling, Sharon",Juvenile idiopathic arthritis: a heterogenous group of diseases with a heterogenous set of challenges,2018,2018/06/01,9,1,Page 29,Page 30,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-5-sl.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Gogna, Priyanka",LINE-1 DNA methylation as a biomarker of early carcinogenesis,2018,2018/06/01,9,1,Page 31,Page 32,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-6-pg.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Modarresi,Shirin; Ghodrati, Maryam; Aref-Eshghi, Erfan",Using precision medicine to reduce falls in individuals with Alzheimer’s disease,2018,2018/06/01,9,1,Page 33,Page 35,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-7-sm.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Alchini, Ricardo; Eduardo Nogueira, Tulio",Oral health for a healthy mind: the unexplored links between oral health and dementia,2018,2018/06/01,9,1,Page 36,Page 38,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-8-ra.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"McGee, Meghan",Childhood obesity: the importance of diet and physical activity,2018,2018/06/01,9,1,Page 39,Page 40,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-9-mm.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Reilly, Kristen; Goren, Katherine",Food and beverage marketing: content not suitable for children,2018,2018/06/01,9,1,Page 41,Page 43,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-10-kr.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Salim, Shahan; Lukacs, Michael",A call for interdisciplinary collaboration between video game designers and health care professionals to fight obesity,2018,2018/06/01,9,1,Page 44,Page 45,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-11-ss.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Sui, Yoah; Rudkovska, Anna",Stand up for your health: excessive sedentary behaviour as a modifiable risk factor for chronic disease,2018,2018/06/01,9,1,Page 46,Page 48,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-12-ys.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Mak, Jordan",Food insecurity in Canada and opportunities for chronic disease prevention and management,2018,2018/06/01,9,1,Page 49,Page 51,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-13-jm.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Kang, Hosung; Dillon, Kirsten",Plant-based diet as a means to prevent and treat chronic disease,2018,2018/06/01,9,1,Page 52,Page 54,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-14-hk.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Wallace, Caroline",Diet as a modifiable contributor and potential treatment strategy for Major Depressive Disorder,2018,2018/06/01,9,1,Page 55,Page 56,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-15-cw.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Reilly, Kristen C.","Weighing the costs of obesity: a brief review of the health care, workplace, and personal costs asSOCiated with obesity",2018,2018/06/01,9,1,Page 57,Page 59,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-16-kr.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Gupta, Shikha",Waiting in transition: access to rehabilitation care for adults with chronic neurological conditions in Ontario,2018,2018/06/01,9,1,Page 60,Page 62,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-17-sg.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Rudkovsa, Anna; Sui, Yoah; Kfrerer, Marisa",Catheter re-use: thrifty or threatening? A commentary on intermittent catheter re-use by individuals with spinal cord injury.,2018,2018/06/01,9,1,Page 63,Page 65,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-18-ar.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Bourne, Katie",The hidden impact of an invisible illness: postural tachycardia syndrome,2018,2018/06/01,9,1,Page 66,Page 67,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-19-kb.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Slemon, Kathleen",Wearable self-tracking technologies and hypertension: opportunities and challenges in the literature,2018,2018/06/01,9,1,Page 68,Page 69,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-20-ks.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Main Submissions,MSA,"Lukacs, Michael; Salim, Shahan",Exploring immersive technologies: the potential for innovation in whiplash research,2018,2018/06/01,9,1,Page 70,Page 72,,pdf,healthscienceinquiry@gmail.com,2018-9-msa-21-ml.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",News,NEW,"Dick, Kevin",Artificial Intelligence and Mental Illness,2018,2018/06/01,9,1,Page 5,Page 6,,pdf,healthscienceinquiry@gmail.com,2018-9-new-1-kd.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",News,NEW,"Dick, Kevin",The Best Way Forward: Simulations and Machine Learning for Optimizing Treatment,2018,2018/06/01,9,1,Page 7,Page 8,,pdf,healthscienceinquiry@gmail.com,2018-9-new-2-kd.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",News,NEW,"Robinson, Daniel",Persistent organic pollutants (POPs): a sneaky culprit of chronic disease,2018,2018/06/01,9,1,Page 9,Page 10,,pdf,healthscienceinquiry@gmail.com,2018-9-new-3-dr.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",News,NEW,"Townsend, Logan",An Unfortunate Interaction Between Anti-Psychotic Medication and Obesity,2018,2018/06/01,9,1,Page 11,Page 12,,pdf,healthscienceinquiry@gmail.com,2018-9-new-4-lt.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Spotlight on Careers,SOC,"Thomas, Rhalena",Spotlight on Careers: Dr. Thomas Durcan,2018,2018/06/01,9,1,Page 86,Page 88,,pdf,healthscienceinquiry@gmail.com,2018-9-soc-1-tr.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Spotlight on Careers,SOC,"Thomas, Rhalena",Spotlight on Careers: Dr. Marie Pierre Faure,2018,2018/06/01,9,1,Page 89,Page 90,,pdf,healthscienceinquiry@gmail.com,2018-9-soc-2-tr.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Spotlight on Careers,SOC,"Mohammadi-Shemirani, Pedrum",Spotlight on Careers: Dr. Stephanie Ross,2018,2018/06/01,9,1,Page 91,Page 92,,pdf,healthscienceinquiry@gmail.com,2018-9-soc-3-pms.pdf,
"Volume 9: Chronic Disease: Nature, Nurture, and Consequence",Spotlight on Careers,SOC,"Mohammadi-Shemirani, Pedrum",Spotlight on Careers: Dr. Elizabeth McCready,2018,2018/06/01,9,1,Page 93,Page 94,,pdf,healthscienceinquiry@gmail.com,2018-9-soc-4-pms.pdf,
Volume 10: The Future of Medicine,Ask an Expert,AAE,"Rosales Gerpe, Maria C.; Zhang, Wei",The Need for Ethical and Experimental Regulation in Genome Editing,2019,2019/06/01,9,1,Page 64,Page 67,,pdf,healthscienceinquiry@gmail.com,2019-10-aae-1-mcrg.pdf,
Volume 10: The Future of Medicine,Ask an Expert,AAE,"Shapiro, Rebecca; Stevens-Green, Rebecca",The Ethical Implications of CRISPR/Cas9 Gene Editing,2019,2019/06/01,10,1,Page 68,Page 69,,pdf,healthscienceinquiry@gmail.com,2019-10-aae-2-rs.pdf,
Volume 10: The Future of Medicine,Ask an Expert,AAE,"Cerigo, Helen; Quesnel–Vallee, Amelie",A Failure of Access?: The Birth Evacuation Policy in Canada’s North,2019,2019/06/01,10,1,Page 70,Page 71,,pdf,healthscienceinquiry@gmail.com,2019-10-aae-3-hc.pdf,
Volume 10: The Future of Medicine,Ask an Expert,AAE,"Rahfeld, Peter; Withers, Stephen",Universal Donor Blood Production: Screening the Human Gut Microbiome for Novel Carbohydrate Active Enzymes,2019,2019/06/01,10,1,Page 72,Page 74,,pdf,healthscienceinquiry@gmail.com,2019-10-aae-4-pr.pdf,
Volume 10: The Future of Medicine,Ask an Expert,AAE,"Novakowski, Stefanie; Kastrup, Christian",What NEW Technologies are Needed to Halt Bleeding in the Most Severe Cases of Hemorrhage? Can This be Achieved by Enhancing Delivery of Therapeutics to the Wound?,2019,2019/06/01,10,1,Page 75,Page 76,,pdf,healthscienceinquiry@gmail.com,2019-10-aae-5-sn.pdf,
Volume 10: The Future of Medicine,Fiction,FIC,"Petrie, Sam",Your Best Friend,2019,2019/06/01,10,1,Page 62,Page 63,,pdf,healthscienceinquiry@gmail.com,2019-10-fut-1-sp.pdf,
Volume 10: The Future of Medicine,Main Submissions,MSA,"Wallace, Caroline",Precision Medicine Targeting the Gut-Brain Axis in Depression: The Future of Psychiatric Treatment,2019,2019/06/01,10,1,Page 19,Page 20,,pdf,healthscienceinquiry@gmail.com,2019-10-msa-1-cw.pdf,
Volume 10: The Future of Medicine,Main Submissions,MSA,"Han, Sallie; Oliveria, John Paul",Armouring the Immune System: Future Prospects of Nanomedicine in Cancer Immunotherapy,2019,2019/06/01,10,1,Page 21,Page 24,,pdf,healthscienceinquiry@gmail.com,2019-10-msa-2-sh.pdf,
Volume 10: The Future of Medicine,Main Submissions,MSA,"Spasov, Anika; Oliveria, John Paul",Altered State of Mind: Direct Cellular Reprogramming as Potential Treatment Strategy for Alzheimer’s Disease,2019,2019/06/01,10,1,Page 25,Page 27,,pdf,healthscienceinquiry@gmail.com,2019-10-msa-3-as.pdf,
Volume 10: The Future of Medicine,Main Submissions,MSA,"Morris-Janzen, Dunavan; Oliveria, John Paul",Imaging Glial Cells in Alzheimer’s Disease: From Light Microscopy to Multiplexed Ion Beam Imaging,2019,2019/06/01,10,1,Page 28,Page 30,,pdf,healthscienceinquiry@gmail.com,2019-10-msa-4-dmj.pdf,
Volume 10: The Future of Medicine,Main Submissions,MSA,"Oliviero, Lisa",Considerations for Mitochondrial Replacement Therapy as a Novel Assisted Reproductive Technology,2019,2019/06/01,10,1,Page 31,Page 32,,pdf,healthscienceinquiry@gmail.com,2019-10-msa-5-lo.pdf,
Volume 10: The Future of Medicine,Main Submissions,MSA,"Brownlie, Emma",Leveraging ‘omic’ Technologies to Tailor Probiotic Treatment for Individuals,2019,2019/06/01,10,1,Page 33,Page 34,,pdf,healthscienceinquiry@gmail.com,2019-10-msa-6-eb.pdf,
Volume 10: The Future of Medicine,Main Submissions,MSA,"Hakem Zadeh, Farigol",Routes Towards Treatment: Can We Cure HIV in the Future?,2019,2019/06/01,10,1,Page 35,Page 36,,pdf,healthscienceinquiry@gmail.com,2019-10-msa-7-fhz.pdf,
