issueTitle,sectionTitle,sectionAbbrev,authors,articleTitle,year,datePublished,volume,issue,startPage,endPage,articleAbstract,galleyLabel,authorEmail,fileName,keywords
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Spetsius, Z.V.;Kovalchuck, O.E.;Bogush, I.N.",Properties of diamonds in xenoliths from kimberlites of Yakutia: implication to their origin and exploration,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-51_Spetsuis.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Mainkar, D.;Gupta, T.;Patel, S.C.;Lehmann, B.;Diwan, P.;Kaminsky, F.V.;Khachatryan, G.K.","Physical and infrared characteristics of diamonds from behradih kimberlite, Bastar craton, India",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-52_Mainkar.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Pokhilenko, N.P.;Afanasiev, V.P.;McDonald, J.A.;Vavilov, M.A.;Kuligin, S.S.;Pokhilenko, N.L.;Golovin, A.V.;Agashev, A.M.","Kimberlite indicator minerals in terrigene sediments of lower part of Mackenzie River Basin, NWT, Canada: evidence of new craton with thick lithosphere",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-53Pokhilenko.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Pokhilenko, L.N.;Alifirova, T.A.;Yudin, D.S.",40Ar/39Ar dating of phlogopite of mantle xenoliths from kimberlite pipes of Yakutia: evidence for deep ancient metasomatism of the Siberian platform,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-57-Pokhilenko.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Januszczak, N.;Seller, M.H.;Kurszlaukis, S.;Murphy, C.;Delgaty, J.;Tappe, S.;Ali, K.;Zhu, J.;Ellemers, P.","A multidisciplinary approach to the Attawapiskat kimberlite field, Canada: accelerating the discovery to production pipeline",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-58_Januszczak.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Kahoui, M.;Kaminsky, F.V.;Griffin, W.L.;Belousova, E.;Mahdjoub, Y.;Chabane, M.","Pyrope garnet from the El Kseibat area, Algeria and lithosphere beneath the north-eastern part of the west African craton",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-61_Khoui.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Pivin, M.;Debaille, V.;Mattielli, N.;Demaiffe, D.","Nd-Hf isotope systematics of megacrysts from the Mbuji-Mayi kimberlites, D.R.Congo: implications for the composition of the cratonic lithospheric mantle",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-64_Pivin.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Kriulina, G.Y.;Vasiliev, E.A.;Garanin, V.K.;Garanin, K.V.",Diamonds structural characteristics from different petrochemical types of kimberlites,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-65_Kriulina.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Patterson, M.V.;Francis, D.",The carbonatitic character of kimberlite magma,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-66_Patterson.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Lyukhin, A.M.",The way of the diamond placers of south-western Africa came into being,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-67_Lyukhin.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Palot, M.;Pearson, D.G.;Stern, R.;Stachel, T.;Harris, J.W.","Multiple growth events, processes and fluid sources involved in the growth of diamonds from Finsch mine, RSA: a micro-analytical study",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-68_Palot.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Garanin, V.K.;Anashkin, S.M.;Bovkun, A.V.;Jelsma, H.;Shmakov, I.I.;Garanin, K.V.","Groundmass microcrystalline oxides from the Marsfontein pipe (Republic of South Africa), Catoca, Camachia and others Angolan kimberlite pipes",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-69_Garanin.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Smit, K.V.;Stachel, T.;Seller, M.",Constraints on composition of possible diamondbearing lithosphere as sampled by the Victor kimberlite,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-70_Smit.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Davies, R.;Davies, A.W.","Kimberlite indicator minerals and “laterite”, Canadian arctic",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-71_Davies.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Sarkar, C.;Storey, C.D.;Hawkesworth, C.J.;Sparks, R.S.J.",Trace element and isotope geochemistry of perovskite from kimberlites of southern Africa,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-72_Sarkar.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Yaxley, G.M.;Berry, A.J.;Kamenetsky, V.S.;Woodland, A.B.;Paterson, D.;de Jonge, M.D.;Howard, D.L.",Application of Fe K-edge XANES determinations of Fe3+/?Fe in garnet to peridotite xenoliths from the Udachnaya kimberlite,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-74_Yaxley.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Helmstaedt, H.H.",Tectonic relationships between cratonic and ultra-high pressure (UHP) diamond – implications for craton formation and stabilization,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-078_Helmstaedt.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Kupsch, B.G.;Armstrong, J.P.","Exploration and geology of the Qilalugaq kimberlites, Rae isthmus, Nunavut, Canada",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-79_Kupsch.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Kiseeva, E.S.;Litasov, K.D.;Yaxley, G.M.;Ohtani, E.;Kamenetsky, V.S.",Phase relations of eclogite + 4.4% CO2 at 9-21 GPa: implications for diamond formation in the deep mantle,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-81_Kiseva.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Kostrovitsky, S.I.;Kopylova, M.G.;Egorov, K.N.;Yakovlev, D.A.;Kalashnikova, T.V.;Sandimirova, G.P.","The ""exceptionally fresh"" Udachanaya-east kimberlite: evidence for brine and evaporite contamination",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-84_Kostrovitsky.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Solov’eva, L.V.;Kostrovitsky, S.I.;Yasnygina, T.A.",Fluid and magma transfer in subcontinental lithospheric mantle of the Siberian craton and its geochemical evolution,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-85_Soloeva_LV.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Weiss, Y.;Griffin, W.L.;Bell, D.R.;Navon, O.","High-Mg carbonatitic HDFS, kimberlites and the SCLM",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-87_Weiss.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Kostrovitsky, S.I.;Gornova, M.A.;Solovyeva, L.V.;Yakovlev, D.A.",Isotope heterogeneity from oxygen in rocks of lithosphere mantle,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-89_Kostrovitsky.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"van der Meer, Q.H.A.;Mlaver, K.;Reisberg, L.;Davies, G.R.",The age and origin of the Limpopo (South Africa) subcontinental lithospheric mantle,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-90_QHAVander.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Golovin, A.V.;Sharygin, I.S.;Korsakov, A.V.;Pokhilenko, N.P.",Can be parental kimberlite melts alkali-carbonate liquids: results investigations composition melt inclusions in mantle xenoliths from kimberlites,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-91_Golovin.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Mitchell, R.G.",Oxygen isotope studies of serpentine in kimberlite,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-93_Mitchell.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Mitchell, R.H.;Scott Smith, B.H.;Skinner, E.M.W.","Mineralogy of magmaclasts and interclast matrices of kimberley-type pyroclastic kimberlites from the Kao, Letseng-la-Terae, Lethlakane and Premier kimberlite pipes in southern Africa",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-94_Mitchell_poster.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Zhang, Z.;Fedortchouk, Y.",Mantle-derived morphologies of diamond: records of diamond-destroying mantle metasomatism,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-95_Zhang.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Skvortsova, V.L.;Petrovsky, V.A.;Kriulina, G.Y.",“Shells” (imprints) of diamond in kimberlite,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-96_Skvortsova.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Smith, C.B.;Bulanova, G.P.;Walter, M.J.;Kohn, S.C.;Mikhail, S.;Gobbo, L.","Origin of diamonds from the Dachine ultramafic, French Guyana",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-97_Smith.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Porritt, L.A.;Russell, J.K.;McLean, H.;Fomradas, G.;Eichenberg, D.","Geology and volcanology of the A418 kimberlite pipe, NWT, Canada",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-99_Porritt.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Smith, E.M.;Kopylova, M.G.;Nowell, G.M.;Pearson, D.G.;Ryder, J.;Afanasiev, V.P.",The contrast in trace element chemistry and volatile composition between fluid inclusions in fibrous and octahedral diamonds,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-102_Smith.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Grütter, H.S.;Gerdes, A.;Marko, L.;Heaman, L.M.","U-Pb geochronology of perovskite and zircon from the Chigicherla kimberlites, Anantapur district, India",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-103_Grutter.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Phillips, D.;Clarke, W.;Jaques, A.L.",New 40Ar/39Ar ages for the West Kimberley lamproites and implications for Australian plate geodynamics,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-104_Philips.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Phillips, D.;Giuliani, A.;Jelsma, H.;Joy, S.",40Ar/39Ar analyses of kelyphite: a new approach for dating kimberlites and related rocks,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-107_Philips.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Giuliani, A.;Kamenetsky, V.S.;Phillips, D.;Wyatt, B.A.;Hutchinson, G.",Alkali-carbonate fluids in the lithospheric mantle,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-110_Giuliani.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"de Bruin, D.;Gräser, P.",Quality control procedures applied to routine electron probe analyses of kimberlite indicator minerals,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-113_DeBruin.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Litasov, K.D.;Shatskiy, A.;Ohtani, E.;Pokhilenko, N.P.",Melting phase relations in the systems peridotite-H2O-CO2 and eclogite-H2O-CO2 at pressures up to 27 GPa,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-114_Litasov.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Litasov, K.D.;Shatskiy, A.;Ohtani, E.",Melting of peridotite and eclogite coexisting with reduced C-O-H fluid at 3-16 GPa: further constraints for redox melting models,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-115_Litasov.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Guiliani, A.;Kendrick, M.A.;Philips, D.","Halogen and Ar geochemistry of metasomatic mantle xenoliths from the Bultfontein pipe (Kimberley district, South Africa)",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-117_Giuliani.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Kiseeva, E.S.;Yaxley, G.M.;Kamenetsky, V.S.",Carbonated eclogite at 3.5-5.5 GPa – the effect of the capsule material on solidus temperatures,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-118_Kiseeva.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Mabolani, S.;Cawthorn, R.G.;Reimold, W.U.","Benfontein-02 kimberlite, Free State Province, South Africa",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-119_Mabolani.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Luchs, T.;Brey, G.P.;Gerdes, A.;Hoefer, H.E.","Lu-Hf and Sm-Nd geochronology and geothermobarometry of the lithospheric mantle beneath the Gibeon kimberlite field, Namibia",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-120_Luchs.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Chapman, J.;De Corte, K.;Van Royen, J.;Willems, B.","FTIR features in Argyle, Diavik and Murowa diamonds",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-121_Chapman.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Gurney, J.J.;Helmstaedt, H.H.",Type IIa diamonds and their enhanced economic significance,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-123_Gurney.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Borst, A.M.;Davidheiser, B.;Meulemans, T.J.;Davies, G.R.",The origin and evolution of the lithospheric mantle beneath the Makondi fold belt in Botswana; a comprehensive geochemical study of peridotite xenoliths from the Letlhakane diamond mine,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-125_Borst.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Malygina, E.V.;Pokhilenko, N.P.",Peculiarities of composition of coarse peridotite xenoliths of some kimberlite pipes from Sourth Africa,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-126_Malygina.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Agashev, A.M.;Orihashi, Y.;Rotman, A.Y.;Pokhilenko, N.P.;Serov, I.V.;Tolstov, A.V.","Rutile and titanite as the minerals for dating kimberlite emplacement age: an example of Amakinskaya and Taezhnaya pipes of Mirny field, Siberia",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-127_Agashev.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Shatskiy, A.;Litasov, K.D.;Ohtani, E.",Segregation rate and transport mechanism of volatile-bearing melt in the deep mantle,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-128_Shatskiy.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Sharygin, I.S.;Litasov, K.D.;Shatskiy, A.;Golovin, A.V.;Ohtani, E.;Pokhilenko, N.P.",Melting phase relations of chlorine-bearing kimberlite at 2.1-6.5 GPa and 900-1500°C,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-129_Sharygin.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Sablukov, S.M.",Diagram Ta-Sc – the universal discrimination diagram for geochemical classification of the kimberlitic rocks,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-130-Sablukov.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Buisman, I.;Sparks, R.S.J.;Brown, R.J.;Manya, S.;Kavanagh, J.;Walter, M.J.","Olivine chemistry of exceptionally young (Holocene) kimberlite of the Igwisi Hills volcano, Tanzania",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-131_Buisman.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Kriulina, G.Y.;Kyazimov, V.O.;Vasiliev, E.A.;Matveeva, O.P.","New data on the structure of the cubic habit diamonds from the M.V. Lomonosov diamonds deposit (Archangelsk diamondiferous province, Russia)",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-133_Kruilina.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"O'Brien, H.E.;Spencer, R.G.",Lemphane kimberlite diamond project: petrology update,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-134_OBrien.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Macdonald, A.I.;Napier, S.",Chemical and textural characterisation of non-kimberlitic chromian spinel populations from diamond exploration programmes,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-136_Macdonald.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Ogilvie-Harris, R.C.;Field, M.;Brooker, R.A.;Walter, M.J.;Sparks, R.S.J.","Tthe petrology of AK6, Botswana: implications of volcanic and igneous processes",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-137_OgiliveHarris.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Davies, R.;Davies, A.W.",Zone of anomalous mantle,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-138_Davies.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Sablukov, S.M.;Sablukova, L.I.;Stegnitsky, Yu.B.;Karpenko, M.A.","Banded alkremite xenoliths from Nyurbinskaya kimberlite pipes (Nakyn field, Yakutia)",2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-140_Sablukov.pdf,
"Vol 10: International Kimberlite Conference, Bangalore",Extended Abstracts,ABS,"Weiss, Y.;Kiflawi, I.;Griffin, W.L.;Navon, O.",Fluid microinclusions in monocrystalline diamonds,2012,2012-02-06,10,,,,,PDF,ojshelp@ualberta.ca,10IKC-141-Weiss.pdf,
